#BGC Name	Clan Number	Family Number
BGC0000001.1	0	0
BGC0000002.1	1	1
BGC0000003.1	2	2
BGC0000004.1	8	8
BGC0000006.1	8	8
BGC0000007.1	8	8
BGC0000008.1	8	8
BGC0000009.1	8	8
BGC0000011.1	10	10
BGC0000012.1	11	11
BGC0000013.1	12	12
BGC0000014.1	13	13
BGC0000015.1	14	14
BGC0000017.1	16	16
BGC0000018.1	17	17
BGC0000166.1	17	17
BGC0000022.1	21	21
BGC0000023.1	22	22
BGC0000024.1	23	23
BGC0000026.1	25	25
BGC0000027.1	26	26
BGC0000028.1	27	27
BGC0000032.1	31	31
BGC0000033.1	32	32
BGC0000034.1	33	33
BGC0000061.1	33	33
BGC0000036.1	35	35
BGC0000037.1	36	36
BGC0000038.1	37	37
BGC0000040.1	39	39
BGC0000041.1	40	40
BGC0000042.1	41	41
BGC0000043.1	42	42
BGC0000044.1	43	43
BGC0000045.1	44	44
BGC0000046.1	45	45
BGC0000048.1	47	47
BGC0000049.1	48	48
BGC0000050.1	49	49
BGC0000051.1	50	50
BGC0001580.1	50	50
BGC0000053.1	52	52
BGC0000054.1	53	53
BGC0000055.1	54	54
BGC0000056.1	55	55
BGC0000057.1	56	56
BGC0000058.1	57	57
BGC0000059.1	58	58
BGC0000060.1	59	59
BGC0000062.1	61	61
BGC0000063.1	61	61
BGC0000066.1	66	66
BGC0000067.1	66	66
BGC0000074.1	66	66
BGC0000068.1	67	67
BGC0000069.1	68	68
BGC0000070.1	69	69
BGC0000072.1	70	70
BGC0000073.1	71	71
BGC0000075.1	73	73
BGC0000076.1	74	74
BGC0000077.1	74	74
BGC0000078.1	76	76
BGC0000079.1	77	77
BGC0000080.1	78	78
BGC0000081.1	79	79
BGC0000082.1	80	80
BGC0000085.1	83	83
BGC0000039.1	87	87
BGC0000089.1	87	87
BGC0000098.1	87	87
BGC0000090.1	88	88
BGC0000091.1	89	89
BGC0001063.1	89	89
BGC0000092.1	90	90
BGC0000093.1	91	91
BGC0000094.1	92	92
BGC0000096.1	94	94
BGC0000113.1	94	94
BGC0000029.1	95	95
BGC0000097.1	95	95
BGC0001349.1	95	95
BGC0000099.1	97	97
BGC0000084.1	98	98
BGC0000100.1	98	98
BGC0001670.1	98	98
BGC0000102.1	100	100
BGC0000103.1	101	101
BGC0000104.1	102	102
BGC0001360.1	102	102
BGC0001677.1	102	102
BGC0000105.1	103	103
BGC0000106.1	104	104
BGC0000107.1	105	105
BGC0000109.1	107	107
BGC0000110.1	108	108
BGC0000111.1	109	109
BGC0000112.1	110	110
BGC0000114.1	112	112
BGC0000117.1	115	115
BGC0000118.1	116	116
BGC0000119.1	116	116
BGC0000120.1	118	118
BGC0000121.1	119	119
BGC0000122.1	120	120
BGC0000123.1	121	121
BGC0001643.1	121	121
BGC0000124.1	122	122
BGC0000108.1	123	123
BGC0000125.1	123	123
BGC0001690.1	123	123
BGC0000126.1	124	124
BGC0000127.1	125	125
BGC0000128.1	126	126
BGC0000129.1	127	127
BGC0000130.1	128	128
BGC0000132.1	128	128
BGC0000133.1	131	131
BGC0000134.1	132	132
BGC0000135.1	133	133
BGC0000137.1	135	135
BGC0000138.1	136	136
BGC0000140.1	137	137
BGC0000141.1	138	138
BGC0000142.1	139	139
BGC0000143.1	140	140
BGC0000144.1	141	141
BGC0000146.1	143	143
BGC0000147.1	144	144
BGC0000148.1	145	145
BGC0000149.1	146	146
BGC0000150.1	147	147
BGC0000151.1	148	148
BGC0000152.1	149	149
BGC0000153.1	150	150
BGC0000154.1	151	151
BGC0000155.1	152	152
BGC0000156.1	153	153
BGC0000157.1	154	154
BGC0000158.1	154	154
BGC0000159.1	156	156
BGC0000160.1	157	157
BGC0000161.1	158	158
BGC0000162.1	159	159
BGC0000165.1	162	162
BGC0000167.1	164	164
BGC0000168.1	165	165
BGC0000257.1	253	253
BGC0000335.1	331	331
BGC0000346.1	342	342
BGC0000353.1	349	349
BGC0000365.1	361	361
BGC0000380.1	376	376
BGC0000383.1	379	379
BGC0000393.1	388	388
BGC0000436.1	431	431
BGC0000467.1	462	462
BGC0000680.1	667	667
BGC0000682.1	668	668
BGC0000684.1	669	669
BGC0000935.1	920	920
BGC0000954.1	939	939
BGC0000955.1	940	940
BGC0000957.1	942	942
BGC0000959.1	944	944
BGC0000960.1	945	945
BGC0000961.1	946	946
BGC0000962.1	947	947
BGC0000963.1	948	948
BGC0000966.1	951	951
BGC0000968.1	953	953
BGC0000969.1	954	954
BGC0000970.1	955	955
BGC0000971.1	956	956
BGC0000972.1	957	957
BGC0000973.1	958	958
BGC0000975.1	960	960
BGC0000976.1	961	961
BGC0001165.1	961	961
BGC0000977.1	962	962
BGC0000978.1	963	963
BGC0000981.1	963	963
BGC0000979.1	964	964
BGC0000980.1	964	964
BGC0000982.1	967	967
BGC0000983.1	968	968
BGC0000984.1	969	969
BGC0000986.1	971	971
BGC0000988.1	975	975
BGC0000989.1	975	975
BGC0000990.1	975	975
BGC0000991.1	975	975
BGC0000992.1	976	976
BGC0000994.1	978	978
BGC0000996.1	980	980
BGC0000997.1	981	981
BGC0000998.1	982	982
BGC0000999.1	983	983
BGC0001000.1	984	984
BGC0001001.1	985	985
BGC0001002.1	986	986
BGC0001003.1	987	987
BGC0001006.1	990	990
BGC0001007.1	990	990
BGC0001008.1	992	992
BGC0001009.1	993	993
BGC0001010.1	993	993
BGC0001011.1	997	997
BGC0001012.1	997	997
BGC0001013.1	997	997
BGC0001014.1	998	998
BGC0001015.1	999	999
BGC0001019.1	1003	1003
BGC0001022.1	1006	1006
BGC0001024.1	1008	1008
BGC0001026.1	1010	1010
BGC0001028.1	1012	1012
BGC0001029.1	1013	1013
BGC0001030.1	1014	1014
BGC0001033.1	1017	1017
BGC0001034.1	1018	1018
BGC0001035.1	1019	1019
BGC0001036.1	1020	1020
BGC0001037.1	1021	1021
BGC0001038.1	1022	1022
BGC0001039.1	1023	1023
BGC0001040.1	1024	1024
BGC0000145.1	1025	1025
BGC0001041.1	1025	1025
BGC0001042.1	1026	1026
BGC0001043.1	1027	1027
BGC0001044.1	1028	1028
BGC0001046.1	1030	1030
BGC0001047.1	1031	1031
BGC0001048.1	1032	1032
