#BGC Name	Family Number
BGC0000083.1	81
BGC0000171.1	81
BGC0000175.1	81
BGC0000177.1	81
BGC0001107.1	81
BGC0000095.1	93
BGC0000163.1	160
BGC0000164.1	161
BGC0000172.1	168
BGC0000196.1	192
BGC0000198.1	194
BGC0000205.1	201
BGC0000210.1	206
BGC0000211.1	207
BGC0000263.1	207
BGC0000191.1	208
BGC0000192.1	208
BGC0000212.1	208
BGC0000200.1	211
BGC0000215.1	211
BGC0000271.1	211
BGC0001062.1	211
BGC0001366.1	211
BGC0001512.1	211
BGC0001513.1	211
BGC0001590.1	211
BGC0001730.1	211
BGC0000216.1	212
BGC0000217.1	214
BGC0000218.1	214
BGC0001073.1	214
BGC0000220.1	216
BGC0000190.1	220
BGC0000222.1	220
BGC0000224.1	220
BGC0000275.1	220
BGC0000194.1	224
BGC0000199.1	224
BGC0000227.1	224
BGC0000228.1	224
BGC0000272.1	224
BGC0000273.1	224
BGC0000204.1	226
BGC0000219.1	226
BGC0000230.1	226
BGC0000266.1	226
BGC0000279.1	226
BGC0001376.1	226
BGC0000197.1	227
BGC0000201.1	227
BGC0000203.1	227
BGC0000221.1	227
BGC0000223.1	227
BGC0000229.1	227
BGC0000231.1	227
BGC0000262.1	227
BGC0001072.1	227
BGC0001308.1	227
BGC0001596.1	227
BGC0000232.1	228
BGC0000233.1	229
BGC0000237.1	233
BGC0000238.1	233
BGC0000225.1	235
BGC0000226.1	235
BGC0000235.1	235
BGC0000239.1	235
BGC0000267.1	235
BGC0000276.1	235
BGC0001661.1	235
BGC0000245.1	241
BGC0000246.1	243
BGC0000247.1	243
BGC0000252.1	248
BGC0000202.1	249
BGC0000206.1	249
BGC0000234.1	249
BGC0000236.1	249
BGC0000250.1	249
BGC0000253.1	249
BGC0000270.1	249
BGC0001438.1	249
BGC0001723.1	249
BGC0000208.1	250
BGC0000209.1	250
BGC0000254.1	250
BGC0000269.1	250
BGC0000255.1	251
BGC0000242.1	252
BGC0000248.1	252
BGC0000256.1	252
BGC0000274.1	252
BGC0001197.1	252
BGC0001500.1	252
BGC0000261.1	257
BGC0000264.1	260
BGC0000280.1	276
BGC0000281.1	276
BGC0000284.1	280
BGC0000285.1	281
BGC0000902.1	281
BGC0000290.1	286
BGC0001178.1	286
BGC0001183.1	286
BGC0001233.1	286
BGC0000289.1	318
BGC0000311.1	318
BGC0000322.1	318
BGC0000418.1	318
BGC0000419.1	318
BGC0000455.1	318
BGC0001459.1	318
BGC0001460.1	318
BGC0001461.1	318
BGC0001462.1	318
BGC0001635.1	318
BGC0000385.1	381
BGC0000440.1	435
BGC0000441.1	435
BGC0000652.1	639
BGC0001079.1	639
BGC0000861.1	854
BGC0000862.1	854
BGC0000863.1	854
BGC0000864.1	854
BGC0000865.1	854
BGC0000869.1	854
BGC0000872.1	857
BGC0001076.1	857
BGC0000952.1	937
BGC0000995.1	979
BGC0001096.1	979
BGC0001113.1	979
BGC0001646.1	979
BGC0001025.1	1009
BGC0001104.1	1009
BGC0000967.1	1016
BGC0001031.1	1016
BGC0001032.1	1016
BGC0001350.1	1016
BGC0001520.1	1016
BGC0001065.1	1049
BGC0001066.1	1050
BGC0001077.1	1061
BGC0001078.1	1062
BGC0001083.1	1062
BGC0001088.1	1072
BGC0001094.1	1078
BGC0000402.1	1081
BGC0001090.1	1081
BGC0001098.1	1081
BGC0001103.1	1081
BGC0000178.1	1082
BGC0000186.1	1082
BGC0001089.1	1082
BGC0001099.1	1082
BGC0001470.1	1082
BGC0001751.1	1082
BGC0001101.1	1084
BGC0001106.1	1089
BGC0000185.1	1092
BGC0001092.1	1092
BGC0001093.1	1092
BGC0001108.1	1092
BGC0001109.1	1092
BGC0001148.1	1129
BGC0001150.1	1131
BGC0001177.1	1157
BGC0000195.1	1159
BGC0001179.1	1159
BGC0001719.1	1159
BGC0001213.1	1192
BGC0001292.1	1192
BGC0000021.1	1272
BGC0001293.1	1272
BGC0000182.1	1279
BGC0001299.1	1279
BGC0001300.1	1279
BGC0001301.1	1279
BGC0001310.1	1289
BGC0000173.1	1361
BGC0000180.1	1361
BGC0000181.1	1361
BGC0001383.1	1361
BGC0001761.1	1361
BGC0000268.1	1362
BGC0001384.1	1362
BGC0001769.1	1362
BGC0001061.1	1387
BGC0001409.1	1387
BGC0001439.1	1417
BGC0001543.1	1512
BGC0000214.1	1527
BGC0001074.1	1527
BGC0001558.1	1527
BGC0001568.1	1527
BGC0001091.1	1533
BGC0001105.1	1533
BGC0001110.1	1533
BGC0001112.1	1533
BGC0001114.1	1533
BGC0001115.1	1533
BGC0001116.1	1533
BGC0001564.1	1533
BGC0001611.1	1533
BGC0001663.1	1533
BGC0001780.1	1533
BGC0001064.1	1535
BGC0001357.1	1535
BGC0001566.1	1535
BGC0001622.1	1589
BGC0001386.1	1592
BGC0001625.1	1592
BGC0001647.1	1614
BGC0001665.1	1632
BGC0001675.1	1642
BGC0001689.1	1655
BGC0000240.1	1659
BGC0000241.1	1659
BGC0001693.1	1659
BGC0001005.1	1694
BGC0001728.1	1694
BGC0001740.1	1706
BGC0001762.1	1727
BGC0000174.1	1760
BGC0000176.1	1760
BGC0000179.1	1760
BGC0000184.1	1760
BGC0001111.1	1760
BGC0001186.1	1760
BGC0001644.1	1760
BGC0001656.1	1760
BGC0001772.1	1760
BGC0001795.1	1760
BGC0001819.1	1784
CS200_c00001_NODE_1_...cluster093	1888
CS783_c00001_NODE_1_...cluster054	1888
CS200_c00001_NODE_1_...cluster198	2077
CS200_c00001_NODE_1_...cluster245	2077
CS200_c00001_NODE_1_...cluster282	2077
CS203_c00001_NODE_1_...cluster213	2077
CS211_c00001_NODE_1_...cluster211	2077
CS202_c00001_NODE_1_...cluster069	2153
CS202_c00001_NODE_1_...cluster109	2193
CS200_c00001_NODE_1_...cluster266	2267
CS202_c00001_NODE_1_...cluster183	2267
CS203_c00001_NODE_1_...cluster055	2332
CS203_c00001_NODE_1_...cluster115	2392
CS203_c00001_NODE_1_...cluster126	2403
CS211_c00001_NODE_1_...cluster058	2403
CS203_c00001_NODE_1_...cluster198	2475
CS204_c00001_NODE_1_...cluster061	2553
BGC0000282.1	2687
CS203_c00001_NODE_1_...cluster202	2687
CS204_c00001_NODE_1_...cluster195	2687
CS204_c00001_NODE_1_...cluster197	2687
CS211_c00001_NODE_1_...cluster270	2687
CS783_c00001_NODE_1_...cluster137	2687
CS211_c00001_NODE_1_...cluster001	2701
CS200_c00001_NODE_1_...cluster171	2703
CS202_c00001_NODE_1_...cluster046	2703
CS211_c00001_NODE_1_...cluster003	2703
CS200_c00001_NODE_1_...cluster041	2709
CS200_c00001_NODE_1_...cluster107	2709
CS202_c00001_NODE_1_...cluster099	2709
CS203_c00001_NODE_1_...cluster045	2709
CS203_c00001_NODE_1_...cluster073	2709
CS204_c00001_NODE_1_...cluster009	2709
CS211_c00001_NODE_1_...cluster009	2709
CS783_c00001_NODE_1_...cluster011	2709
CS211_c00001_NODE_1_...cluster068	2768
CS200_c00001_NODE_1_...cluster122	3006
CS202_c00001_NODE_1_...cluster044	3006
CS203_c00001_NODE_1_...cluster050	3006
CS204_c00001_NODE_1_...cluster028	3006
CS211_c00001_NODE_1_...cluster137	3006
CS783_c00001_NODE_1_...cluster029	3006
CS200_c00001_NODE_1_...cluster178	3038
CS202_c00001_NODE_1_...cluster114	3038
CS204_c00001_NODE_1_...cluster090	3038
CS211_c00001_NODE_1_...cluster069	3038
CS211_c00001_NODE_1_...cluster087	3038
CS783_c00001_NODE_1_...cluster061	3038
CS783_c00001_NODE_1_...cluster123	3100
