#BGC Name	Clan Number	Family Number
BGC0000021.1	20	20
BGC0000083.1	81	81
BGC0000177.1	81	81
BGC0000095.1	93	93
BGC0000163.1	160	160
BGC0000164.1	161	161
BGC0000171.1	167	167
BGC0000172.1	168	168
BGC0000173.1	169	169
BGC0000174.1	170	170
BGC0000175.1	171	171
BGC0000176.1	172	172
BGC0000178.1	174	174
BGC0000179.1	175	175
BGC0000180.1	176	176
BGC0000182.1	178	178
BGC0000184.1	180	180
BGC0000185.1	181	181
BGC0000186.1	182	182
BGC0000190.1	186	186
BGC0000224.1	186	186
BGC0000191.1	188	188
BGC0000192.1	188	188
BGC0000212.1	188	188
BGC0000195.1	191	191
BGC0000196.1	192	192
BGC0000197.1	193	193
BGC0000198.1	194	194
BGC0000199.1	195	195
BGC0000200.1	196	196
BGC0000202.1	198	198
BGC0000204.1	200	200
BGC0000205.1	201	201
BGC0000206.1	202	202
BGC0000208.1	204	204
BGC0000209.1	205	205
BGC0000210.1	206	206
BGC0000211.1	207	207
BGC0000215.1	211	211
BGC0001366.1	211	211
BGC0001512.1	211	211
BGC0000216.1	212	212
BGC0000217.1	213	213
BGC0000218.1	214	214
BGC0000219.1	215	215
BGC0000220.1	216	216
BGC0000221.1	217	217
BGC0000222.1	218	218
BGC0000225.1	221	221
BGC0000226.1	222	222
BGC0000194.1	223	223
BGC0000227.1	223	223
BGC0000228.1	223	223
BGC0000230.1	226	226
BGC0000232.1	228	228
BGC0000233.1	229	229
BGC0000237.1	233	233
BGC0000238.1	233	233
BGC0000240.1	237	237
BGC0000241.1	237	237
BGC0001693.1	237	237
BGC0000242.1	238	238
BGC0000245.1	241	241
BGC0000246.1	242	242
BGC0000247.1	242	242
BGC0000248.1	244	244
BGC0000250.1	246	246
BGC0000252.1	248	248
BGC0000254.1	250	250
BGC0000255.1	251	251
BGC0000256.1	252	252
BGC0000261.1	257	257
BGC0000263.1	259	259
BGC0000264.1	260	260
BGC0000266.1	262	262
BGC0000268.1	264	264
BGC0000269.1	265	265
BGC0000271.1	267	267
BGC0000273.1	269	269
BGC0000274.1	270	270
BGC0000275.1	271	271
BGC0000279.1	275	275
BGC0000280.1	276	276
BGC0000281.1	276	276
BGC0000282.1	278	278
BGC0000284.1	280	280
BGC0000285.1	281	281
BGC0000289.1	285	285
BGC0000290.1	286	286
BGC0000311.1	318	318
BGC0000322.1	318	318
BGC0000455.1	318	318
BGC0001459.1	318	318
BGC0001460.1	318	318
BGC0001461.1	318	318
BGC0001462.1	318	318
BGC0000385.1	381	381
BGC0000402.1	397	397
BGC0001090.1	397	397
BGC0001098.1	397	397
BGC0000418.1	413	413
BGC0000419.1	413	413
BGC0000440.1	435	435
BGC0000441.1	435	435
BGC0000861.1	846	846
BGC0000862.1	847	847
BGC0000863.1	848	848
BGC0000864.1	849	849
BGC0000865.1	850	850
BGC0000869.1	854	854
BGC0000872.1	857	857
BGC0000902.1	887	887
BGC0000952.1	937	937
BGC0000967.1	952	952
BGC0001005.1	989	989
BGC0001025.1	1009	1009
BGC0001104.1	1009	1009
BGC0001031.1	1016	1016
BGC0001032.1	1016	1016
BGC0001061.1	1045	1045
BGC0001062.1	1046	1046
BGC0001065.1	1049	1049
BGC0001066.1	1050	1050
BGC0001073.1	1057	1057
BGC0001076.1	1060	1060
BGC0001077.1	1061	1061
BGC0001078.1	1062	1062
BGC0000652.1	1063	1063
BGC0001079.1	1063	1063
BGC0001083.1	1067	1067
BGC0001088.1	1072	1072
BGC0001089.1	1073	1073
BGC0001091.1	1075	1075
BGC0001092.1	1076	1076
BGC0001093.1	1077	1077
BGC0001094.1	1078	1078
BGC0000995.1	1080	1080
BGC0001096.1	1080	1080
BGC0001099.1	1082	1082
BGC0001101.1	1084	1084
BGC0001103.1	1086	1086
BGC0001105.1	1088	1088
BGC0001106.1	1089	1089
BGC0001107.1	1090	1090
BGC0001108.1	1091	1091
BGC0001109.1	1091	1091
BGC0001110.1	1093	1093
BGC0001111.1	1094	1094
BGC0001112.1	1095	1095
BGC0001113.1	1096	1096
BGC0001114.1	1097	1097
BGC0001115.1	1098	1098
BGC0001116.1	1099	1099
BGC0001148.1	1129	1129
BGC0001150.1	1131	1131
BGC0001177.1	1157	1157
BGC0001178.1	1158	1158
BGC0001183.1	1162	1162
BGC0001186.1	1165	1165
BGC0001197.1	1176	1176
BGC0001213.1	1192	1192
BGC0001233.1	1212	1212
BGC0001292.1	1271	1271
BGC0001293.1	1272	1272
BGC0001299.1	1278	1278
BGC0001300.1	1280	1280
BGC0001301.1	1280	1280
BGC0001310.1	1289	1289
BGC0001350.1	1328	1328
BGC0001064.1	1335	1335
BGC0001357.1	1335	1335
BGC0001566.1	1335	1335
BGC0001376.1	1354	1354
BGC0000181.1	1361	1361
BGC0001383.1	1361	1361
BGC0000229.1	1362	1362
BGC0001384.1	1362	1362
BGC0001769.1	1362	1362
BGC0001409.1	1387	1387
BGC0001438.1	1416	1416
BGC0001439.1	1417	1417
BGC0001470.1	1441	1441
BGC0001500.1	1469	1469
BGC0000272.1	1482	1482
BGC0001513.1	1482	1482
BGC0001520.1	1489	1489
BGC0001543.1	1512	1512
BGC0000214.1	1527	1527
BGC0001074.1	1527	1527
BGC0001558.1	1527	1527
BGC0001568.1	1527	1527
BGC0001564.1	1533	1533
BGC0001590.1	1558	1558
BGC0000223.1	1564	1564
BGC0000231.1	1564	1564
BGC0000236.1	1564	1564
BGC0000253.1	1564	1564
BGC0001596.1	1564	1564
BGC0001611.1	1578	1578
BGC0001622.1	1589	1589
BGC0001386.1	1592	1592
