#BGC Name	Family Number
BGC0000062.1	62
BGC0000063.1	62
BGC0000299.1	310
BGC0000314.1	310
BGC0000312.1	338
BGC0000313.1	338
BGC0000342.1	338
BGC0000362.1	361
BGC0000363.1	361
BGC0000364.1	361
BGC0000365.1	361
BGC0000317.1	400
BGC0000319.1	400
BGC0000404.1	400
BGC0000405.1	400
BGC0000303.1	423
BGC0000409.1	423
BGC0000428.1	423
BGC0000326.1	436
BGC0000440.1	436
BGC0000441.1	436
BGC0000296.1	445
BGC0000306.1	445
BGC0000339.1	445
BGC0000359.1	445
BGC0000360.1	445
BGC0000376.1	445
BGC0000395.1	445
BGC0000415.1	445
BGC0000434.1	445
BGC0000445.1	445
BGC0000450.1	445
BGC0000316.1	453
BGC0000458.1	453
BGC0000294.1	930
BGC0000352.1	930
BGC0000392.1	930
BGC0000410.1	930
BGC0000460.1	930
BGC0000945.1	930
BGC0000288.1	934
BGC0000949.1	934
BGC0000950.1	936
BGC0000951.1	936
BGC0000406.1	958
BGC0000962.1	958
BGC0000966.1	958
BGC0000973.1	958
BGC0000988.1	975
BGC0000989.1	975
BGC0000990.1	975
BGC0000991.1	975
BGC0000150.1	992
BGC0001008.1	992
BGC0000353.1	994
BGC0000380.1	994
BGC0000982.1	994
BGC0000998.1	994
BGC0001009.1	994
BGC0001010.1	994
BGC0000144.1	997
BGC0001011.1	997
BGC0001012.1	997
BGC0001013.1	997
BGC0000301.1	1002
BGC0000302.1	1002
BGC0000331.1	1002
BGC0000332.1	1002
BGC0000397.1	1002
BGC0001018.1	1002
BGC0000145.1	1025
BGC0000971.1	1025
BGC0001041.1	1025
BGC0000383.1	1031
BGC0000436.1	1031
BGC0000997.1	1031
BGC0001047.1	1031
BGC0000347.1	1039
BGC0000467.1	1039
BGC0001014.1	1039
BGC0001055.1	1039
BGC0000422.1	1042
BGC0000963.1	1042
BGC0001048.1	1042
BGC0001058.1	1042
BGC0000293.1	1068
BGC0000348.1	1068
BGC0000356.1	1068
BGC0000420.1	1068
BGC0000816.1	1068
BGC0000818.1	1068
BGC0000819.1	1068
BGC0001084.1	1068
BGC0000384.1	1069
BGC0000391.1	1069
BGC0000444.1	1069
BGC0001085.1	1069
CS204_c00001_NODE_1_...cluster139	1069
CS211_c00001_NODE_1_...cluster239	1069
BGC0000995.1	1080
BGC0001096.1	1080
BGC0000402.1	1086
BGC0001005.1	1086
BGC0001033.1	1086
BGC0001090.1	1086
BGC0001098.1	1086
BGC0001103.1	1086
BGC0001025.1	1092
BGC0001071.1	1092
BGC0001092.1	1092
BGC0001093.1	1092
BGC0001099.1	1092
BGC0001105.1	1092
BGC0001108.1	1092
BGC0001109.1	1092
BGC0001056.1	1112
BGC0001130.1	1112
BGC0001128.1	1117
BGC0001131.1	1117
BGC0001132.1	1117
BGC0001135.1	1117
BGC0000355.1	1123
BGC0000357.1	1123
BGC0001142.1	1123
BGC0000327.1	1128
BGC0001147.1	1128
BGC0000358.1	1133
BGC0000377.1	1133
BGC0000381.1	1133
BGC0000433.1	1133
BGC0001152.1	1133
BGC0000954.1	1146
BGC0000976.1	1146
BGC0001115.1	1146
BGC0001165.1	1146
BGC0000304.1	1147
BGC0000370.1	1147
BGC0001166.1	1147
BGC0000309.1	1164
BGC0000368.1	1164
BGC0000401.1	1164
BGC0000417.1	1164
BGC0000454.1	1164
BGC0001185.1	1164
CS211_c00001_NODE_1_...cluster220	1164
BGC0000403.1	1171
BGC0000407.1	1171
BGC0000408.1	1171
BGC0000452.1	1171
BGC0001095.1	1171
BGC0001153.1	1171
BGC0001192.1	1171
BGC0000346.1	1182
BGC0000960.1	1182
BGC0001020.1	1182
BGC0001021.1	1182
BGC0001027.1	1182
BGC0001039.1	1182
BGC0001050.1	1182
BGC0001193.1	1182
BGC0001203.1	1182
BGC0000958.1	1195
BGC0001002.1	1195
BGC0001216.1	1195
BGC0000959.1	1197
BGC0000968.1	1197
BGC0000977.1	1197
BGC0001049.1	1197
BGC0001136.1	1197
BGC0001218.1	1197
BGC0000290.1	1212
BGC0000455.1	1212
BGC0001148.1	1212
BGC0001178.1	1212
BGC0001233.1	1212
BGC0001250.1	1230
BGC0001251.1	1230
BGC0000064.1	1247
BGC0001026.1	1247
BGC0001037.1	1247
BGC0001187.1	1247
BGC0001268.1	1247
BGC0000323.1	1291
BGC0000389.1	1291
BGC0000435.1	1291
BGC0001312.1	1291
BGC0000421.1	1309
BGC0000453.1	1309
BGC0000956.1	1309
BGC0000961.1	1309
BGC0000964.1	1309
BGC0000969.1	1309
BGC0000975.1	1309
BGC0001045.1	1309
BGC0001102.1	1309
BGC0001327.1	1309
BGC0001328.1	1309
BGC0001329.1	1309
BGC0001330.1	1309
BGC0001331.1	1309
BGC0000994.1	1320
BGC0001003.1	1320
BGC0001040.1	1320
BGC0001042.1	1320
BGC0001046.1	1320
BGC0001051.1	1320
BGC0001052.1	1320
BGC0001110.1	1320
BGC0001195.1	1320
BGC0001342.1	1320
BGC0000955.1	1322
BGC0000993.1	1322
BGC0001000.1	1322
BGC0001053.1	1322
BGC0001344.1	1322
BGC0000373.1	1333
BGC0001236.1	1333
BGC0001237.1	1333
BGC0001352.1	1333
BGC0001353.1	1333
BGC0001354.1	1333
BGC0001355.1	1333
BGC0000291.1	1348
BGC0000315.1	1348
BGC0000336.1	1348
BGC0000354.1	1348
BGC0000379.1	1348
BGC0000429.1	1348
BGC0000439.1	1348
BGC0000985.1	1348
BGC0001370.1	1348
BGC0000338.1	1349
BGC0000456.1	1349
BGC0001035.1	1349
BGC0001220.1	1349
BGC0001371.1	1349
BGC0000335.1	1406
BGC0000394.1	1406
BGC0001351.1	1406
BGC0001415.1	1406
BGC0001418.1	1406
BGC0001420.1	1406
BGC0001421.1	1406
BGC0001422.1	1406
BGC0001423.1	1406
BGC0001424.1	1406
BGC0001425.1	1406
BGC0001426.1	1406
BGC0001427.1	1406
BGC0001428.1	1406
BGC0001023.1	1409
BGC0001417.1	1409
BGC0001419.1	1409
BGC0001429.1	1409
BGC0001430.1	1409
BGC0001431.1	1409
BGC0000289.1	1433
BGC0000311.1	1433
BGC0000322.1	1433
BGC0000418.1	1433
BGC0000419.1	1433
BGC0001240.1	1433
BGC0001308.1	1433
BGC0001459.1	1433
BGC0001460.1	1433
BGC0001461.1	1433
BGC0001462.1	1433
BGC0000287.1	1466
BGC0000350.1	1466
BGC0000414.1	1466
BGC0000432.1	1466
BGC0001149.1	1466
BGC0001372.1	1466
BGC0001442.1	1466
BGC0001479.1	1466
BGC0001497.1	1466
BGC0000305.1	1478
BGC0000334.1	1478
BGC0000344.1	1478
BGC0000398.1	1478
BGC0000399.1	1478
BGC0000411.1	1478
BGC0000462.1	1478
BGC0000463.1	1478
BGC0001207.1	1478
BGC0001208.1	1478
BGC0001346.1	1478
BGC0001347.1	1478
BGC0001509.1	1478
BGC0001029.1	1488
BGC0001036.1	1488
BGC0001117.1	1488
BGC0001519.1	1488
BGC0000310.1	1505
BGC0000367.1	1505
BGC0000400.1	1505
BGC0000449.1	1505
BGC0001532.1	1505
BGC0001536.1	1505
BGC0000970.1	1528
BGC0000974.1	1528
BGC0000986.1	1528
BGC0001024.1	1528
BGC0001054.1	1528
BGC0001212.1	1528
BGC0001367.1	1528
BGC0001559.1	1528
BGC0000081.1	1552
BGC0000965.1	1552
BGC0001397.1	1552
BGC0001503.1	1552
BGC0001584.1	1552
BGC0000307.1	1603
BGC0000337.1	1603
BGC0001565.1	1603
BGC0001636.1	1603
BGC0000186.1	1613
BGC0000967.1	1613
BGC0001069.1	1613
BGC0001070.1	1613
BGC0001089.1	1613
BGC0001111.1	1613
BGC0001112.1	1613
BGC0001477.1	1613
BGC0001646.1	1613
BGC0000385.1	1624
BGC0000413.1	1624
BGC0000461.1	1624
BGC0001406.1	1624
BGC0001414.1	1624
BGC0001448.1	1624
BGC0001582.1	1624
BGC0001657.1	1624
BGC0000416.1	1664
BGC0000465.1	1664
BGC0001261.1	1664
BGC0001434.1	1664
BGC0001692.1	1664
BGC0001698.1	1664
BGC0000396.1	1671
BGC0001015.1	1671
BGC0001016.1	1671
BGC0001017.1	1671
BGC0001235.1	1671
BGC0001332.1	1671
BGC0001467.1	1671
BGC0001667.1	1671
BGC0001705.1	1671
BGC0000343.1	1676
BGC0001225.1	1676
BGC0001345.1	1676
BGC0001437.1	1676
BGC0001710.1	1676
BGC0000900.1	1684
BGC0001249.1	1684
BGC0001263.1	1684
BGC0001518.1	1684
BGC0001527.1	1684
BGC0001545.1	1684
BGC0001679.1	1684
BGC0001717.1	1684
BGC0001718.1	1684
CS203_c00001_NODE_1_...cluster210	1684
BGC0000457.1	1692
BGC0000996.1	1692
BGC0000999.1	1692
BGC0001043.1	1692
BGC0001435.1	1692
BGC0001553.1	1692
BGC0001556.1	1692
BGC0001599.1	1692
BGC0001615.1	1692
BGC0001703.1	1692
BGC0001704.1	1692
BGC0001726.1	1692
BGC0001001.1	1703
BGC0001022.1	1703
BGC0001034.1	1703
BGC0001394.1	1703
BGC0001702.1	1703
BGC0001737.1	1703
BGC0000983.1	1707
BGC0000992.1	1707
BGC0001057.1	1707
BGC0001122.1	1707
BGC0001182.1	1707
BGC0001255.1	1707
BGC0001399.1	1707
BGC0001445.1	1707
BGC0001449.1	1707
BGC0001563.1	1707
BGC0001724.1	1707
BGC0001738.1	1707
BGC0001741.1	1707
BGC0000297.1	1713
BGC0000298.1	1713
BGC0000320.1	1713
BGC0000426.1	1713
BGC0000430.1	1713
BGC0001341.1	1713
BGC0001502.1	1713
BGC0001573.1	1713
BGC0001631.1	1713
BGC0001748.1	1713
BGC0001106.1	1716
BGC0001113.1	1716
BGC0001114.1	1716
BGC0001564.1	1716
BGC0001740.1	1716
BGC0001751.1	1716
BGC0000393.1	1719
BGC0000431.1	1719
BGC0000443.1	1719
BGC0000984.1	1719
BGC0001028.1	1719
BGC0001125.1	1719
BGC0001358.1	1719
BGC0001363.1	1719
BGC0001608.1	1719
BGC0001716.1	1719
BGC0001728.1	1719
BGC0001754.1	1719
BGC0000333.1	1728
BGC0001059.1	1728
BGC0001088.1	1728
BGC0001297.1	1728
BGC0001413.1	1728
BGC0001432.1	1728
BGC0001598.1	1728
BGC0001620.1	1728
BGC0001711.1	1728
BGC0001763.1	1728
BGC0000300.1	1731
BGC0000374.1	1731
BGC0000378.1	1731
BGC0001133.1	1731
BGC0001189.1	1731
BGC0001214.1	1731
BGC0001230.1	1731
BGC0001567.1	1731
BGC0001623.1	1731
BGC0001628.1	1731
BGC0001695.1	1731
BGC0001752.1	1731
BGC0001758.1	1731
BGC0001766.1	1731
BGC0000325.1	1732
BGC0000349.1	1732
BGC0000351.1	1732
BGC0000366.1	1732
BGC0000371.1	1732
BGC0000423.1	1732
BGC0001211.1	1732
BGC0001228.1	1732
BGC0001721.1	1732
BGC0001767.1	1732
BGC0001575.1	1755
BGC0001671.1	1755
BGC0001734.1	1755
BGC0001790.1	1755
BGC0000324.1	1766
BGC0000412.1	1766
BGC0001801.1	1766
BGC0000446.1	1770
BGC0000448.1	1770
BGC0001574.1	1770
BGC0001637.1	1770
BGC0001652.1	1770
BGC0001771.1	1770
BGC0001805.1	1770
BGC0000341.1	1771
BGC0000425.1	1771
BGC0000437.1	1771
BGC0000438.1	1771
BGC0000447.1	1771
BGC0000464.1	1771
BGC0001389.1	1771
BGC0001416.1	1771
BGC0001629.1	1771
BGC0001641.1	1771
BGC0001792.1	1771
BGC0001806.1	1771
BGC0000141.1	1772
BGC0000459.1	1772
BGC0000952.1	1772
BGC0000972.1	1772
BGC0001019.1	1772
BGC0001083.1	1772
BGC0001183.1	1772
BGC0001231.1	1772
BGC0001635.1	1772
BGC0001800.1	1772
BGC0001807.1	1772
BGC0000330.1	1779
BGC0000388.1	1779
BGC0000424.1	1779
BGC0001196.1	1779
BGC0001368.1	1779
BGC0001393.1	1779
BGC0001469.1	1779
BGC0001562.1	1779
BGC0001569.1	1779
BGC0001630.1	1779
BGC0001650.1	1779
BGC0001672.1	1779
BGC0001699.1	1779
BGC0001796.1	1779
BGC0001814.1	1779
BGC0000901.1	1781
BGC0001290.1	1781
BGC0001402.1	1781
BGC0001515.1	1781
BGC0001517.1	1781
BGC0001768.1	1781
BGC0001816.1	1781
BGC0000308.1	1783
BGC0000329.1	1783
BGC0001561.1	1783
BGC0001593.1	1783
BGC0001621.1	1783
BGC0001627.1	1783
BGC0001686.1	1783
BGC0001764.1	1783
BGC0001818.1	1783
BGC0000292.1	1786
BGC0000321.1	1786
BGC0000372.1	1786
BGC0001044.1	1786
BGC0001123.1	1786
BGC0001365.1	1786
BGC0001585.1	1786
BGC0001609.1	1786
BGC0001820.1	1786
BGC0001821.1	1786
BGC0000369.1	1787
BGC0001127.1	1787
BGC0001614.1	1787
BGC0001715.1	1787
BGC0001822.1	1787
BGC0001100.1	1788
BGC0001101.1	1788
BGC0001116.1	1788
BGC0001611.1	1788
BGC0001750.1	1788
BGC0001780.1	1788
BGC0001823.1	1788
BGC0001791.1	1791
BGC0001824.1	1791
BGC0001825.1	1791
BGC0001826.1	1791
BGC0000345.1	1794
BGC0001202.1	1794
BGC0001382.1	1794
BGC0001443.1	1794
BGC0001524.1	1794
BGC0001560.1	1794
BGC0001570.1	1794
BGC0001760.1	1794
BGC0001813.1	1794
BGC0001829.1	1794
CS200_c00001_NODE_1_...cluster025	1820
CS202_c00001_NODE_1_...cluster026	1820
