BGC	Accesion ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
BGC0000002.1	BGC0000002.1	Aculeximycin biosynthetic gene cluster	t1pks-oligosaccharide	Others	Kutzneria albida DSM 43870	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Pseudonocardineae,Pseudonocardiaceae,Kutzneria
BGC0000005.1	BGC0000005.1	Aflatoxin biosynthetic gene cluster	other	Others	Aspergillus parasiticus	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
BGC0000010.1	BGC0000010.1	Aflatoxin biosynthetic gene cluster	other	Others	Aspergillus flavus	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
BGC0000016.1	BGC0000016.1	Amphotericin biosynthetic gene cluster	other	Others	Streptomyces nodosus	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000019.1	BGC0000019.1	Angolamycin biosynthetic gene cluster	other	Others	Streptomyces eurythermus	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000025.1	BGC0000025.1	Avermectin biosynthetic gene cluster	other	Others	Streptomyces avermitilis	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000026.1	BGC0000026.1	Avilamycin A biosynthetic gene cluster	t1pks-oligosaccharide	Others	Streptomyces viridochromogenes Tue57	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000033.1	BGC0000033.1	Calicheamicin biosynthetic gene cluster	t1pks-oligosaccharide	Others	Micromonospora echinospora	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporineae,Micromonosporaceae,Micromonospora
BGC0000038.1	BGC0000038.1	Coelimycin biosynthetic gene cluster	butyrolactone-t1pks	Others	Streptomyces coelicolor A3(2)	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces,Streptomyces albidoflavus group
BGC0000065.1	BGC0000065.1	Galbonolides biosynthetic gene cluster	other	Others	Streptomyces galbus	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
