#BGC Name	Family Number
BGC0000004.1	3
BGC0000006.1	3
BGC0000007.1	3
BGC0000008.1	3
BGC0000009.1	3
BGC0000062.1	62
BGC0000063.1	62
BGC0000032.1	72
BGC0000066.1	72
BGC0000067.1	72
BGC0000068.1	72
BGC0000074.1	72
BGC0000076.1	75
BGC0000077.1	75
BGC0000014.1	78
BGC0000080.1	78
BGC0000086.1	85
BGC0000087.1	85
BGC0000054.1	90
BGC0000055.1	90
BGC0000085.1	90
BGC0000092.1	90
BGC0000039.1	96
BGC0000089.1	96
BGC0000098.1	96
BGC0000118.1	117
BGC0000119.1	117
BGC0000127.1	126
BGC0000128.1	126
BGC0000130.1	130
BGC0000132.1	130
BGC0000011.1	149
BGC0000027.1	149
BGC0000048.1	149
BGC0000152.1	149
BGC0000157.1	155
BGC0000158.1	155
BGC0000018.1	163
BGC0000041.1	163
BGC0000050.1	163
BGC0000051.1	163
BGC0000069.1	163
BGC0000072.1	163
BGC0000094.1	163
BGC0000110.1	163
BGC0000113.1	163
BGC0000124.1	163
BGC0000166.1	163
BGC0000979.1	965
BGC0000980.1	965
BGC0001002.1	965
BGC0000978.1	966
BGC0000981.1	966
BGC0000023.1	975
BGC0000153.1	975
BGC0000954.1	975
BGC0000988.1	975
BGC0000989.1	975
BGC0000990.1	975
BGC0000991.1	975
CS211_c00001_NODE_1_...cluster045	975
BGC0001006.1	990
BGC0001007.1	990
BGC0000150.1	992
BGC0001008.1	992
BGC0000380.1	994
BGC0000982.1	994
BGC0001009.1	994
BGC0001010.1	994
BGC0000149.1	997
BGC0001011.1	997
BGC0001012.1	997
BGC0001013.1	997
BGC0000145.1	1025
BGC0000971.1	1025
BGC0001041.1	1025
BGC0000383.1	1031
BGC0000436.1	1031
BGC0000997.1	1031
BGC0001047.1	1031
BGC0000963.1	1032
BGC0001048.1	1032
BGC0000467.1	1039
BGC0001014.1	1039
BGC0001055.1	1039
BGC0000091.1	1047
BGC0000257.1	1047
BGC0000935.1	1047
BGC0001038.1	1047
BGC0001063.1	1047
BGC0001056.1	1112
BGC0001130.1	1112
BGC0000013.1	1125
BGC0000156.1	1125
BGC0000168.1	1125
BGC0000684.1	1125
BGC0001118.1	1125
BGC0001144.1	1125
BGC0000030.1	1139
BGC0000070.1	1139
BGC0001044.1	1139
BGC0001158.1	1139
BGC0000043.1	1144
BGC0001160.1	1144
BGC0001161.1	1144
BGC0001162.1	1144
BGC0001163.1	1144
BGC0000976.1	1146
BGC0001001.1	1146
BGC0001071.1	1146
BGC0001165.1	1146
BGC0000082.1	1162
BGC0000162.1	1162
BGC0001004.1	1162
BGC0001042.1	1162
BGC0001070.1	1162
BGC0001183.1	1162
BGC0000958.1	1195
BGC0001216.1	1195
BGC0000003.1	1197
BGC0000129.1	1197
BGC0000959.1	1197
BGC0000968.1	1197
BGC0000977.1	1197
BGC0000983.1	1197
BGC0001049.1	1197
BGC0001067.1	1197
BGC0001136.1	1197
BGC0001182.1	1197
BGC0001218.1	1197
BGC0000961.1	1210
BGC0000972.1	1210
BGC0001019.1	1210
BGC0001029.1	1210
BGC0001059.1	1210
BGC0001231.1	1210
BGC0000028.1	1211
BGC0000040.1	1211
BGC0000147.1	1211
BGC0000970.1	1211
BGC0000994.1	1211
BGC0001052.1	1211
BGC0001065.1	1211
BGC0001169.1	1211
BGC0001232.1	1211
BGC0000045.1	1225
BGC0000134.1	1225
BGC0001057.1	1225
BGC0001245.1	1225
BGC0001246.1	1225
BGC0000064.1	1247
BGC0001026.1	1247
BGC0001037.1	1247
BGC0001068.1	1247
BGC0001187.1	1247
BGC0001253.1	1247
BGC0001254.1	1247
BGC0001268.1	1247
BGC0000057.1	1251
BGC0000107.1	1251
BGC0000161.1	1251
BGC0001257.1	1251
BGC0001258.1	1251
BGC0001259.1	1251
BGC0001265.1	1251
BGC0001266.1	1251
BGC0001272.1	1251
BGC0000160.1	1255
BGC0001030.1	1255
BGC0001244.1	1255
BGC0001273.1	1255
BGC0001275.1	1255
BGC0001276.1	1255
CS211_c00001_NODE_1_...cluster011	1255
CS783_c00001_NODE_1_...cluster133	1255
BGC0001264.1	1259
BGC0001280.1	1259
BGC0000140.1	1309
BGC0000969.1	1309
BGC0001102.1	1309
BGC0001159.1	1309
BGC0001327.1	1309
BGC0001328.1	1309
BGC0001329.1	1309
BGC0001330.1	1309
BGC0001331.1	1309
BGC0001000.1	1322
BGC0001053.1	1322
BGC0001344.1	1322
BGC0000029.1	1327
BGC0000093.1	1327
BGC0000097.1	1327
BGC0000167.1	1327
BGC0001003.1	1327
BGC0001069.1	1327
BGC0001303.1	1327
BGC0001349.1	1327
BGC0000138.1	1333
BGC0001236.1	1333
BGC0001237.1	1333
BGC0001352.1	1333
BGC0001353.1	1333
BGC0001354.1	1333
BGC0001355.1	1333
BGC0001340.1	1363
BGC0001385.1	1363
BGC0000035.1	1374
BGC0000047.1	1374
BGC0000075.1	1374
BGC0001281.1	1374
BGC0001396.1	1374
BGC0000121.1	1381
BGC0001271.1	1381
BGC0001284.1	1381
BGC0001304.1	1381
BGC0001403.1	1381
BGC0000022.1	1383
BGC0001143.1	1383
BGC0001404.1	1383
BGC0001405.1	1383
BGC0000955.1	1393
BGC0000962.1	1393
BGC0001415.1	1393
BGC0001417.1	1398
